image_url,artwork_id,artist_id,title,artist,category,year,museum,material,genre,art_type,movement
http://commons.wikimedia.org/wiki/Special:FilePath/Rosetta%20Stone%20-%20front%20face%20-%20corrected%20image.jpg?width=400,ea3a236e5df3,9b924f2f1c2a,Rosetta Stone,Ptolemy V Epiphanes,Painting,-019,British Museum,granodiorite,Unknown,stele,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/The%20Creation%20of%20Adam%20perspective%20fix.jpg?width=400,a119694fd91a,0d46a3ff4160,The Creation of Adam,Michelangelo,Painting,1511,Sistine Chapel,fresco,religious art,fresco,High Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Las%20Meninas%2C%20by%20Diego%20Vel%C3%A1zquez%2C%20from%20Prado%20in%20Google%20Earth.jpg?width=400,8a5cc7b3ba44,c5ca99e07715,Las Meninas,Diego Velázquez,Painting,1656,Museo del Prado,oil paint,group portrait,painting,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/Origin-of-the-World.jpg?width=400,7b1534f94609,4211369afbd3,L'Origine du monde,Gustave Courbet,Painting,1866,Musée d'Orsay,oil paint,nude,painting,Realism
http://commons.wikimedia.org/wiki/Special:FilePath/The%20Death%20of%20Socrates%20MET%20DP-13139-001.jpg?width=400,8d623926cc8d,aad486ca0a9f,The Death of Socrates,Jacques-Louis David,Painting,1787-1786,Metropolitan Museum of Art,oil paint,history painting,painting,Neoclassicism
http://commons.wikimedia.org/wiki/Special:FilePath/Last%20Judgement%20%28Michelangelo%29.jpg?width=400,0671e6a4bb4d,0d46a3ff4160,The Last Judgment,Michelangelo,Painting,1600,Sistine Chapel,fresco,religious art,fresco,Mannerism
http://commons.wikimedia.org/wiki/Special:FilePath/Jheronimus%20Bosch%20023.jpg?width=400,f3e4f0f8138e,cadc412b5b2a,The Garden of Earthly Delights,Hieronymus Bosch,Painting,1490,Museo del Prado,oil paint,religious art,triptych,Early Netherlandish painting
http://commons.wikimedia.org/wiki/Special:FilePath/Maja%20desnuda%20%28museo%20del%20Prado%29.jpg?width=400,4999c2615e10,632c129420ae,La maja desnuda,Francisco Goya,Painting,1795-1800,Museo del Prado,oil paint,nude,painting,Romanticism
http://commons.wikimedia.org/wiki/Special:FilePath/Elgin%20Marbles%20British%20Museum.jpg?width=400,33810fa41ddf,b7b8e2ce9826,Elgin Marbles,Phidias,Painting,-044,British Museum,Pentelic marble,Unknown,group of sculptures,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%20y%20Lucientes%20-%20Los%20fusilamientos%20del%20tres%20de%20mayo%20-%201814.jpg?width=400,73a6c9f8b666,632c129420ae,The Third of May 1808,Francisco Goya,Painting,1814,Museo del Prado,oil paint,history painting,painting,Romanticism
http://commons.wikimedia.org/wiki/Special:FilePath/Grant%20Wood%20-%20American%20Gothic%20%281930%29.jpg?width=400,e47452b74465,30e06b2926d8,American Gothic,Grant Wood,Painting,1930,Art Institute of Chicago,oil paint,Unknown,painting,Regionalism
http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20-%20Luncheon%20on%20the%20Grass%20-%20Google%20Art%20Project.jpg?width=400,a97e41014e11,5442d89c3e3e,Luncheon on the Grass,Édouard Manet,Painting,1863,Musée d'Orsay,oil paint,nude,painting,Realism
