artist,artwork,year,location
Leonardo da Vinci,Mona Lisa,1503,Louvre Museum
Leonardo da Vinci,The Last Supper,1498,Santa Maria delle Grazie (Milan)
Leonardo da Vinci,Lady with an Ermine,1490,National Museum (Krakow)
Leonardo da Vinci,The Virgin of the Rocks,1486,Louvre Museum
Leonardo da Vinci,Vitruvian Man,1490,Gallerie dell'Accademia (Venice)
Leonardo da Vinci,St. John the Baptist,1516,Louvre Museum
Leonardo da Vinci,Benois Madonna,1478,State Hermitage Museum
Leonardo da Vinci,Ginevra de' Benci,1474,National Gallery of Art (Washington)
Leonardo da Vinci,Annunciation,1475,Uffizi Gallery
Leonardo da Vinci,Salvator Mundi,1500,Private Collection
Michelangelo,The Creation of Adam,1512,Sistine Chapel
Michelangelo,The Last Judgment,1541,Sistine Chapel
Michelangelo,Doni Tondo,1506,Uffizi Gallery
Michelangelo,The Entombment,1501,National Gallery (London)
Michelangelo,Conversion of Saul,1542,Vatican Museums
Michelangelo,The Torment of Saint Anthony,1488,Kimbell Art Museum
Michelangelo,Christ Carrying the Cross,1521,Private Collection
Michelangelo,The Dream,1533,Courtauld Gallery
Michelangelo,Battle of Cascina (drawing),1504,Lost (known via copies)
Michelangelo,Study for Libyan Sibyl,1511,Metropolitan Museum of Art
Raphael,The School of Athens,1511,Vatican Museums
Raphael,Sistine Madonna,1512,Gemäldegalerie Alte Meister (Dresden)
Raphael,The Transfiguration,1520,Vatican Museums
Raphael,Madonna of the Goldfinch,1506,Uffizi Gallery
Raphael,La Fornarina,1520,Palazzo Barberini
Raphael,Portrait of Baldassare Castiglione,1515,Louvre Museum
Raphael,Marriage of the Virgin,1504,Pinacoteca di Brera (Milan)
Raphael,Madonna della Sedia,1514,Palazzo Pitti
Raphael,Madonna of the Meadow,1506,Kunsthistorisches Museum (Vienna)
Raphael,Portrait of Pope Julius II,1512,National Gallery (London)
Caravaggio,The Calling of St. Matthew,1600,San Luigi dei Francesi (Rome)
Caravaggio,Judith Beheading Holofernes,1599,Palazzo Barberini
Caravaggio,The Entombment of Christ,1603,Vatican Museums
Caravaggio,Supper at Emmaus,1601,National Gallery (London)
Caravaggio,Bacchus,1596,Uffizi Gallery
Caravaggio,David with the Head of Goliath,1610,Galleria Borghese
Caravaggio,The Taking of Christ,1602,National Gallery of Ireland
Caravaggio,The Musicians,1595,Metropolitan Museum of Art
Caravaggio,Medusa,1597,Uffizi Gallery
Caravaggio,The Fortune Teller,1595,Capitoline Museums
Titian,Assumption of the Virgin,1518,Basilica di Santa Maria Gloriosa dei Frari
Titian,Venus of Urbino,1538,Uffizi Gallery
Titian,Bacchus and Ariadne,1523,National Gallery (London)
Titian,Portrait of Charles V,1548,Alte Pinakothek
Titian,The Rape of Europa,1562,Isabella Stewart Gardner Museum
Titian,Danaë,1554,Prado Museum
Titian,The Entombment,1525,Louvre Museum
Titian,Man with a Glove,1520,Louvre Museum
Titian,The Crowning with Thorns,1543,Louvre Museum
Titian,Christ Carrying the Cross,1565,Prado Museum
Sandro Botticelli,The Birth of Venus,1485,Uffizi Gallery
Sandro Botticelli,Primavera,1482,Uffizi Gallery
Sandro Botticelli,Adoration of the Magi,1475,Uffizi Gallery
Sandro Botticelli,Madonna of the Magnificat,1481,Uffizi Gallery
Sandro Botticelli,Mystic Nativity,1500,National Gallery (London)
Sandro Botticelli,Portrait of a Young Man,1480,National Gallery (London)
Sandro Botticelli,Pallas and the Centaur,1482,Uffizi Gallery
Sandro Botticelli,The Story of Nastagio degli Onesti,1483,Prado Museum
Sandro Botticelli,Annunciation,1489,Uffizi Gallery
Sandro Botticelli,The Calumny of Apelles,1495,Uffizi Gallery
Rembrandt van Rijn,The Night Watch,1642,Rijksmuseum
Rembrandt van Rijn,The Jewish Bride,1667,Rijksmuseum
Rembrandt van Rijn,The Anatomy Lesson of Dr. Nicolaes Tulp,1632,Mauritshuis
Rembrandt van Rijn,Bathsheba at Her Bath,1654,Louvre Museum
Rembrandt van Rijn,Self-Portrait with Two Circles,1665,Kenwood House
Rembrandt van Rijn,The Return of the Prodigal Son,1669,State Hermitage Museum
Rembrandt van Rijn,The Storm on the Sea of Galilee,1633,Missing (stolen from Isabella Stewart Gardner)
Rembrandt van Rijn,Portrait of Jan Six,1654,Private Collection
Rembrandt van Rijn,Self-Portrait (1660),1660,Metropolitan Museum of Art
Rembrandt van Rijn,Aristotle with a Bust of Homer,1653,Metropolitan Museum of Art
Johannes Vermeer,Girl with a Pearl Earring,1665,Mauritshuis
Johannes Vermeer,The Milkmaid,1658,Rijksmuseum
Johannes Vermeer,View of Delft,1661,Mauritshuis
Johannes Vermeer,The Art of Painting,1666,Kunsthistorisches Museum
Johannes Vermeer,The Little Street,1658,Rijksmuseum
Johannes Vermeer,Woman Holding a Balance,1664,National Gallery (Washington)
Johannes Vermeer,The Music Lesson,1662,Royal Collection
Johannes Vermeer,The Geographer,1669,Städel Museum
Johannes Vermeer,Girl Reading a Letter at an Open Window,1659,Gemäldegalerie (Dresden)
Johannes Vermeer,The Concert,1664,Missing (Gardner Museum)
Peter Paul Rubens,The Descent from the Cross,1614,Cathedral of Our Lady (Antwerp)
Peter Paul Rubens,The Elevation of the Cross,1610,Cathedral of Our Lady (Antwerp)
Peter Paul Rubens,The Three Graces,1635,Prado Museum
Peter Paul Rubens,The Judgement of Paris,1639,National Gallery (London)
Peter Paul Rubens,Massacre of the Innocents,1611,Art Gallery of Ontario
Peter Paul Rubens,The Garden of Love,1633,Prado Museum
Peter Paul Rubens,Samson and Delilah,1609,National Gallery (London)
Peter Paul Rubens,Daniel in the Lions' Den,1615,National Gallery of Art (Washington)
Peter Paul Rubens,Portrait of Anne of Austria,1622,Prado Museum
Peter Paul Rubens,The Tiger Hunt,1617,Alte Pinakothek
Diego Velázquez,Las Meninas,1656,Prado Museum
Diego Velázquez,The Surrender of Breda,1635,Prado Museum
Diego Velázquez,Old Woman Frying Eggs,1618,National Gallery of Scotland
Diego Velázquez,Portrait of Pope Innocent X,1650,Palazzo Doria Pamphilj
Diego Velázquez,Christ Crucified,1632,Prado Museum
Diego Velázquez,The Spinners,1657,Prado Museum
Diego Velázquez,The Rokeby Venus,1651,National Gallery (London)
Diego Velázquez,Portrait of Juan de Pareja,1650,Metropolitan Museum of Art
Diego Velázquez,The Waterseller of Seville,1620,Apsley House
Diego Velázquez,Aesop,1640,Prado Museum
Francisco Goya,The Third of May 1808,1814,Prado Museum
Francisco Goya,Saturn Devouring His Son,1823,Prado Museum
Francisco Goya,The Nude Maja,1797,Prado Museum
Francisco Goya,The Clothed Maja,1800,Prado Museum
Francisco Goya,Charles IV of Spain and His Family,1801,Prado Museum
Francisco Goya,Witches' Sabbath,1798,Prado Museum
Francisco Goya,Self-Portrait with Dr. Arrieta,1820,Minneapolis Institute of Art
Francisco Goya,The Dog,1823,Prado Museum
Francisco Goya,The Disasters of War,1810,Various Collections
Francisco Goya,The Milkmaid of Bordeaux,1827,Prado Museum
