artist,artwork,year,location,image_url,artwork_id,artist_id,category,museum,material,genre,art_type,movement
Leonardo da Vinci,Mona Lisa,1503,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Mona%20Lisa%2C%20by%20Leonardo%20da%20Vinci%2C%20from%20C2RMF%20natural%20color.jpg?width=400,482db68d82cf,4f9b6c6861b4,Painting,"Salle des États, Louvre",oil paint,portrait,painting,Italian Renaissance
Leonardo da Vinci,Lady with an Ermine,1490,National Museum (Krakow),http://commons.wikimedia.org/wiki/Special:FilePath/Lady%20with%20an%20Ermine%20-%20Leonardo%20da%20Vinci%20-%20Google%20Art%20Project.jpg?width=400,5eaf8570532b,4f9b6c6861b4,Painting,Czartoryski Museum,tempera,portrait,painting,High Renaissance
Leonardo da Vinci,Vitruvian Man,1490,Gallerie dell'Accademia (Venice),http://commons.wikimedia.org/wiki/Special:FilePath/Da%20Vinci%20Vitruve%20Luc%20Viatour.jpg?width=400,85ad4df17856,4f9b6c6861b4,Painting,Venice,Unknown,Unknown,drawing,Italian Renaissance
Leonardo da Vinci,Benois Madonna,1478,State Hermitage Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%2C%20Madonna%20Benois.JPG?width=400,18bc3def9cd5,4f9b6c6861b4,Painting,Hermitage Museum,oil paint,religious art,painting,Early Renaissance
Leonardo da Vinci,Ginevra de' Benci,1474,National Gallery of Art (Washington),http://commons.wikimedia.org/wiki/Special:FilePath/Ginevra%20de%27%20Benci%20-%20National%20Gallery%20of%20Art.jpg?width=400,57fb1178bf43,4f9b6c6861b4,Painting,National Gallery of Art,oil paint,portrait,painting,Italian Renaissance
Leonardo da Vinci,Annunciation,1475,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Annunciation%20%28Leonardo%29%20%28cropped%29.jpg?width=400,d4da9e6e69a9,4f9b6c6861b4,Painting,Uffizi Gallery,oil paint,religious art,painting,Italian Renaissance
Leonardo da Vinci,Salvator Mundi,1500,Private Collection,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%2C%20Salvator%20Mundi%2C%20c.1500%2C%20oil%20on%20walnut%2C%2045.4%20%C3%97%2065.6%20cm.jpg?width=400,974dcc8ca113,4f9b6c6861b4,Painting,Doughty House,oil paint,religious art,painting,Italian Renaissance
Michelangelo,The Creation of Adam,1512,Sistine Chapel,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Creation%20of%20Adam%20perspective%20fix.jpg?width=400,a119694fd91a,0d46a3ff4160,Painting,Sistine Chapel,fresco,religious art,fresco,High Renaissance
Michelangelo,The Last Judgment,1541,Sistine Chapel,http://commons.wikimedia.org/wiki/Special:FilePath/Last%20Judgement%20%28Michelangelo%29.jpg?width=400,0671e6a4bb4d,0d46a3ff4160,Painting,Sistine Chapel,fresco,religious art,fresco,Mannerism
Michelangelo,Doni Tondo,1506,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Tondo%20Doni%2C%20por%20Miguel%20%C3%81ngel.jpg?width=400,f0e0937ed96a,0d46a3ff4160,Painting,Uffizi Gallery,oil paint,religious art,tondo,High Renaissance
Michelangelo,The Entombment,1501,National Gallery (London),http://commons.wikimedia.org/wiki/Special:FilePath/Entombment%20Michelangelo.jpg?width=400,d2f3d942bc98,0d46a3ff4160,Painting,National Gallery,tempera,religious art,unfinished creative work,High Renaissance
Michelangelo,The Torment of Saint Anthony,1488,Kimbell Art Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Michelangelo%20Buonarroti%20-%20The%20Torment%20of%20Saint%20Anthony%20-%20Google%20Art%20Project.jpg?width=400,d5dfccb45f4c,0d46a3ff4160,Painting,Kimbell Art Museum,oil paint,religious art,painting,Italian Renaissance
Raphael,The School of Athens,1511,Vatican Museums,http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20%281483-1520%29%20%28after%29%20-%20The%20School%20of%20Athens%20-%20WA1845.45%20-%20Ashmolean%20Museum.jpg?width=400,5a2bf453de11,84fc7720d5e7,Painting,Ashmolean Museum,oil paint,Unknown,painting,Unknown
Raphael,Sistine Madonna,1512,Gemäldegalerie Alte Meister (Dresden),http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20-%20The%20Sistine%20Madonna%20-%20Google%20Arts%20%26%20Culture.jpg?width=400,10782e49f4bb,84fc7720d5e7,Painting,Gemäldegalerie Alte Meister,oil paint,religious art,painting,High Renaissance
Raphael,Madonna of the Goldfinch,1506,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%2C%20Madonna%20del%20Cardellino%2C%201507%2C%20Uffizi.jpg?width=400,7f8b3899bd8b,84fc7720d5e7,Painting,Uffizi Gallery,oil paint,religious art,painting,High Renaissance
Raphael,La Fornarina,1520,Palazzo Barberini,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Sanzio%20-%20La%20Fornarina%20%28ca.%201519-1520%29.jpg?width=400,37731f348eb6,84fc7720d5e7,Painting,Palazzo Barberini,oil paint,nude,painting,Italian Renaissance painting
Raphael,Portrait of Baldassare Castiglione,1515,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Baldassare%20Castiglione%2C%20by%20Raffaello%20Sanzio%2C%20from%20C2RMF%20retouched.jpg?width=400,3f56aa4f8096,84fc7720d5e7,Painting,Room 712,oil paint,portrait,painting,Unknown
Raphael,Madonna della Sedia,1514,Palazzo Pitti,http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20%281483-1520%29%20%28after%29%20-%20Madonna%20della%20sedia%20-%20WAG%202841%20-%20Walker%20Art%20Gallery.jpg?width=400,ba74d7726c93,84fc7720d5e7,Painting,Walker Art Gallery,oil paint,Unknown,painting,Unknown
Raphael,Portrait of Pope Julius II,1512,National Gallery (London),http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Julius%20II.jpg?width=400,8384a1a7c348,84fc7720d5e7,Painting,National Gallery,oil paint,portrait,painting,Italian Renaissance painting
Caravaggio,Judith Beheading Holofernes,1599,Palazzo Barberini,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20-%20Giuditta%20e%20Oloferne%20%28ca.%201599%29.jpg?width=400,1b17e6f41d31,204f6137b921,Painting,Palazzo Barberini,oil paint,religious art,painting,Baroque
Caravaggio,The Entombment of Christ,1603,Vatican Museums,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Entombment%20of%20Christ-Caravaggio%20%28c.1602-3%29.jpg?width=400,91ff159a9a1c,204f6137b921,Painting,Pinacoteca Vaticana,oil paint,religious art,painting,Italian Baroque painting
Caravaggio,Supper at Emmaus,1601,National Gallery (London),http://commons.wikimedia.org/wiki/Special:FilePath/Supper%20at%20Emmaus-Caravaggio%20%281601%29.jpg?width=400,03b3c0d40e99,204f6137b921,Painting,National Gallery,oil paint,religious art,painting,Baroque
Caravaggio,David with the Head of Goliath,1610,Galleria Borghese,http://commons.wikimedia.org/wiki/Special:FilePath/David%20with%20the%20Head%20of%20Goliath-Caravaggio%20%281610%29.jpg?width=400,aaca924dac24,204f6137b921,Painting,Galleria Borghese,oil paint,self-portrait,painting,Caravaggisti
Caravaggio,The Taking of Christ,1602,National Gallery of Ireland,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Taking%20of%20Christ-Caravaggio%20%28c.1602%29.jpg?width=400,c81c5afcced5,204f6137b921,Painting,National Gallery of Ireland,oil paint,religious art,painting,Italian Baroque painting
Caravaggio,The Musicians,1595,Metropolitan Museum of Art,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Musicians%20MET%20DP-687-001.jpg?width=400,e48b6701025e,204f6137b921,Painting,Metropolitan Museum of Art,oil paint,portrait,painting,Baroque
Caravaggio,Medusa,1597,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20-%20Medusa%20-%20Google%20Art%20Project.jpg?width=400,42ccf669f4ae,204f6137b921,Painting,Uffizi Gallery,oil paint,mythological painting,tondo,Unknown
Caravaggio,The Fortune Teller,1595,Capitoline Museums,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Fortune%20Teller-Caravaggio%20%28Louvre%29.jpg?width=400,d7fbf7446305,204f6137b921,Painting,Louvre Museum,oil paint,genre art,artwork copy,Italian Baroque painting
Titian,Venus of Urbino,1538,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Tiziano%27s%20Venere%20di%20Urbino%20%28from%20The%20History%20BLog%29.jpg?width=400,75984d92f4d3,3af3fc517091,Painting,Uffizi Gallery,oil paint,nude,painting,Venetian school
Titian,Bacchus and Ariadne,1523,National Gallery (London),http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20Bacchus%20and%20Ariadne.jpg?width=400,d6370a9dc8fe,3af3fc517091,Painting,National Gallery,oil paint,mythological painting,painting,Venetian school
Titian,The Rape of Europa,1562,Isabella Stewart Gardner Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Tizian%20085.jpg?width=400,5ec4bffbda64,3af3fc517091,Painting,Isabella Stewart Gardner Museum,oil paint,mythological painting,painting,Venetian school
Titian,Danaë,1554,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Tizian%20-%20Danae%20receiving%20the%20Golden%20Rain%20-%20Prado.jpg?width=400,4f648ecea1bf,3af3fc517091,Painting,Museo del Prado,oil paint,nude,painting,Venetian school
Titian,The Entombment,1525,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Entierro%20de%20Cristo%20%28Tiziano%29.jpg?width=400,c1f3b546fb00,3af3fc517091,Painting,Museo del Prado,oil paint,religious art,painting,Venetian school
Titian,Man with a Glove,1520,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Tizian%20079.jpg?width=400,aa24d875c97e,3af3fc517091,Painting,"Salle des États, Louvre",oil paint,portrait,painting,Venetian school
Titian,The Crowning with Thorns,1543,Louvre Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20-%20Crowning%20with%20Thorns%20-%20WGA22806.jpg?width=400,16e74f5cf46d,3af3fc517091,Painting,"Salle des États, Louvre",oil paint,religious art,painting,Venetian school
Titian,Christ Carrying the Cross,1565,Prado Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%2C%20Christ%20Carrying%20the%20Cross.%20Oil%20on%20canvas%2C%2067%20x%2077%20cm%2C%20c.%201565.%20Madrid%2C%20Museo%20Nacional%20del%20Prado.jpg?width=400,a7a143eb9682,3af3fc517091,Painting,Museo del Prado,oil paint,religious art,painting,Unknown
Sandro Botticelli,The Birth of Venus,1485,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20nascita%20di%20Venere%20-%20Google%20Art%20Project%20-%20edited.jpg?width=400,e76c83d431a4,e7d01fa8d73a,Painting,"Uffizi Gallery - Room 11-12, Botticelli's, Florence, Italy",tempera,nude,painting,Renaissance
Sandro Botticelli,Primavera,1482,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20Primavera%20-%20Google%20Art%20Project.jpg?width=400,17528fd1241b,e7d01fa8d73a,Painting,Uffizi Gallery,tempera,allegory,painting,Early Renaissance
Sandro Botticelli,Adoration of the Magi,1475,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Zanobi-Altar.jpg?width=400,8d1985311b5e,e7d01fa8d73a,Painting,Uffizi Gallery,tempera,religious art,painting,Early Renaissance
Sandro Botticelli,Madonna of the Magnificat,1481,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20Madonna%20del%20Magnificat%20C.jpg?width=400,9cdd0f5063e5,e7d01fa8d73a,Painting,"Uffizi Gallery - Room 11-12, Botticelli's, Florence, Italy",tempera,religious art,tondo,Early Renaissance
Sandro Botticelli,Portrait of a Young Man,1480,National Gallery (London),http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20070.jpg?width=400,8a11ff9d3352,e7d01fa8d73a,Painting,National Gallery,tempera,portrait,painting,Early Renaissance
Sandro Botticelli,Pallas and the Centaur,1482,Uffizi Gallery,http://commons.wikimedia.org/wiki/Special:FilePath/Pallade%20col%20Centauro%2C%20Sandro%20Botticelli%20%281482%29.jpg?width=400,cde6866665e7,e7d01fa8d73a,Painting,Uffizi Gallery,oil paint,mythological painting,painting,Early Renaissance
Johannes Vermeer,Girl with a Pearl Earring,1665,Mauritshuis,http://commons.wikimedia.org/wiki/Special:FilePath/1665%20Girl%20with%20a%20Pearl%20Earring.jpg?width=400,f192ddada833,bbdeaf783d50,Painting,Mauritshuis,oil paint,tronie,painting,Baroque
Johannes Vermeer,The Milkmaid,1658,Rijksmuseum,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20Het%20melkmeisje%20-%20Google%20Art%20Project.jpg?width=400,69a76cf7378c,bbdeaf783d50,Painting,Gallery of Honour,oil paint,genre art,painting,Baroque
Johannes Vermeer,View of Delft,1661,Mauritshuis,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20View%20of%20Delft%20-%2092%20-%20Mauritshuis.jpg?width=400,83b6322273a2,bbdeaf783d50,Painting,Mauritshuis,oil paint,cityscape,painting,Baroque
Johannes Vermeer,The Little Street,1658,Rijksmuseum,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20Gezicht%20op%20huizen%20in%20Delft%2C%20bekend%20als%20%27Het%20straatje%27%20-%20Google%20Art%20Project.jpg?width=400,a049ba853c7b,bbdeaf783d50,Painting,Rijksmuseum,oil paint,cityscape,painting,Dutch Golden Age painting
Johannes Vermeer,Woman Holding a Balance,1664,National Gallery (Washington),http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20Woman%20Holding%20a%20Balance%20-%20Google%20Art%20Project.jpg?width=400,04402483f9c9,bbdeaf783d50,Painting,National Gallery of Art,oil paint,genre art,painting,Dutch Golden Age painting
Johannes Vermeer,The Music Lesson,1662,Royal Collection,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20Lady%20at%20the%20Virginal%20with%20a%20Gentleman%2C%20%27The%20Music%20Lesson%27%20-%20Google%20Art%20Project.jpg?width=400,c6713f186b9c,bbdeaf783d50,Painting,Buckingham Palace,oil paint,genre art,painting,Dutch Golden Age painting
Johannes Vermeer,The Geographer,1669,Städel Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%2C%20Der%20Geograf%2C%201669.png?width=400,2693f0637e8a,bbdeaf783d50,Painting,Städel Museum,oil paint,portrait,painting,Dutch Golden Age painting
Johannes Vermeer,Girl Reading a Letter at an Open Window,1659,Gemäldegalerie (Dresden),http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Vermeer%20van%20Delft%20-%20Brieflezend%20meisje%20bij%20het%20venster%20%28ca.%201657-59%29.jpg?width=400,a56e662e659d,bbdeaf783d50,Painting,Gemäldegalerie Alte Meister,oil paint,genre art,painting,Dutch Golden Age painting
Johannes Vermeer,The Concert,1664,Missing (Gardner Museum),http://commons.wikimedia.org/wiki/Special:FilePath/Vermeer%20The%20Concert.jpg?width=400,2f5fcf224fb3,bbdeaf783d50,Painting,http://www.wikidata.org/.well-known/genid/32a7ec21c1653db413e34701375730e3,oil paint,genre art,painting,Dutch Golden Age painting
Peter Paul Rubens,The Descent from the Cross,1614,Cathedral of Our Lady (Antwerp),http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Paul%20Rubens%20-%20Descent%20from%20the%20cross%20%281617%29.jpg?width=400,6b6226f94dbc,88e7d24b91bd,Painting,Palais des Beaux-Arts de Lille,oil paint,religious art,painting,Flemish Baroque painting
