artist_x,artwork
Leonardo da Vinci,The Last Supper
Leonardo da Vinci,The Virgin of the Rocks
Leonardo da Vinci,St. John the Baptist
Michelangelo,Conversion of Saul
Michelangelo,Christ Carrying the Cross
Michelangelo,The Dream
Michelangelo,Battle of Cascina (drawing)
Michelangelo,Study for Libyan Sibyl
Raphael,The Transfiguration
Raphael,Marriage of the Virgin
Raphael,Madonna of the Meadow
Caravaggio,The Calling of St. Matthew
Caravaggio,Bacchus
Titian,Assumption of the Virgin
Titian,Portrait of Charles V
Sandro Botticelli,Mystic Nativity
Sandro Botticelli,The Story of Nastagio degli Onesti
Sandro Botticelli,Annunciation
Sandro Botticelli,The Calumny of Apelles
Rembrandt van Rijn,The Night Watch
Rembrandt van Rijn,The Jewish Bride
Rembrandt van Rijn,The Anatomy Lesson of Dr. Nicolaes Tulp
Rembrandt van Rijn,Bathsheba at Her Bath
Rembrandt van Rijn,Self-Portrait with Two Circles
Rembrandt van Rijn,The Return of the Prodigal Son
Rembrandt van Rijn,The Storm on the Sea of Galilee
Rembrandt van Rijn,Portrait of Jan Six
Rembrandt van Rijn,Self-Portrait (1660)
Rembrandt van Rijn,Aristotle with a Bust of Homer
Johannes Vermeer,The Art of Painting
Diego Velázquez,Old Woman Frying Eggs
Diego Velázquez,Portrait of Pope Innocent X
Diego Velázquez,The Spinners
Diego Velázquez,The Rokeby Venus
Francisco Goya,The Nude Maja
Francisco Goya,Self-Portrait with Dr. Arrieta
Jean-Auguste-Dominique Ingres,Grande Odalisque
Jean-Auguste-Dominique Ingres,Apotheosis of Homer
Jean-Auguste-Dominique Ingres,Valpinçon Bather
Jean-Auguste-Dominique Ingres,Portrait of Madame Moitessier
Jean-Auguste-Dominique Ingres,Portrait of the Comtesse d'Haussonville
Jean-Auguste-Dominique Ingres,Joan of Arc at the Coronation
Jean-Auguste-Dominique Ingres,Vow of Louis XIII
Eugène Delacroix,The Death of Sardanapalus
Eugène Delacroix,Massacre at Chios
Eugène Delacroix,Arab Horses Fighting
Eugène Delacroix,Entry of the Crusaders into Constantinople
Édouard Manet,Le Déjeuner sur l'herbe
Édouard Manet,The Fifer
Claude Monet,Impression Sunrise
Claude Monet,Water Lilies (Large Decorations)
Claude Monet,Haystacks Series
Pierre-Auguste Renoir,Dance at Le Moulin de la Galette
Pierre-Auguste Renoir,Two Sisters on the Terrace
Pierre-Auguste Renoir,The Swing
Pierre-Auguste Renoir,Bather
Pierre-Auguste Renoir,Portrait of Madame Georges Charpentier
Vincent van Gogh,Starry Night
Vincent van Gogh,The Bedroom
Vincent van Gogh,Almond Blossoms
Paul Cézanne,House of the Hanged Man
Henri Matisse,The Dance
Henri Matisse,The Red Room
Henri Matisse,The Dessert: Harmony in Red
Henri Matisse,La Gerbe
Henri Matisse,Portrait of Madame Matisse
Henri Matisse,Interior with a Young Girl
Henri Matisse,The Piano Lesson
Pablo Picasso,Les Demoiselles d'Avignon
Pablo Picasso,The Weeping Woman
Pablo Picasso,Girl Before a Mirror
Pablo Picasso,The Old Guitarist
Pablo Picasso,Portrait of Dora Maar
Pablo Picasso,La Vie
Pablo Picasso,The Blue Room
Wassily Kandinsky,Composition VII
Wassily Kandinsky,Blue Rider
Wassily Kandinsky,Improvisation 28
Wassily Kandinsky,Impression III (Concert)
Wassily Kandinsky,Untitled (First Abstract Watercolor)
Edgar Degas,The Absinthe Drinker
Edgar Degas,At the Races
Edgar Degas,The Orchestra Musicians
Georges Seurat,The Models
Georges Seurat,Gray Weather
Georges Seurat,The Channel at Gravelines
Georges Seurat,Peasant Woman Seated
Marc Chagall,The Birthday
Marc Chagall,The Fiddler
Marc Chagall,Green Violinist
Marc Chagall,America Windows
Marc Chagall,The Promenade
Marc Chagall,The Ceiling of the Paris Opera
