image_url,artwork_id,title,artist,category,year,museum,material,genre,art_type
http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20The%20Astronomer%20-%201668.jpg?width=400,wikidata_1,The Astronomer,Johannes Vermeer,Painting,1664,,oil paint,genre art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Death%20of%20the%20Virgin-Caravaggio%20%281606%29.jpg?width=400,wikidata_2,Death of the Virgin,Caravaggio,Painting,1603-1604,,oil paint,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/The%20Fortune%20Teller-Caravaggio%20%28Louvre%29.jpg?width=400,wikidata_3,The Fortune Teller,Caravaggio,Painting,1594,,oil paint,genre art,artwork copy
http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Paul%20Rubens%20%281577-1640%29%20De%20kruisoprichting%20-%20Onze-Lieve-Vrouwekathedraal%20%28Antwerpen%29%2012-07-2010%2014-49-48.JPG?width=400,wikidata_4,The Elevation of the Cross,Peter Paul Rubens,Painting,1610,,oil paint,religious art,triptych
http://commons.wikimedia.org/wiki/Special:FilePath/Ingres%2C%20Napoleon%20on%20his%20Imperial%20throne.jpg?width=400,wikidata_5,Napoleon I on his Imperial Throne,Jean-Auguste-Dominique Ingres,Painting,1806,,oil paint,portrait,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Selbstportr%C3%A4t%2C%20by%20Albrecht%20D%C3%BCrer%2C%20from%20Prado%20in%20Google%20Earth.jpg?width=400,wikidata_6,Self-Portrait,Albrecht Dürer,Painting,1498,,oil paint,self-portrait,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Mujer%20barbuda%20ribera.jpg?width=400,wikidata_7,Magdalena Ventura with Her Husband and Son,Jusepe de Ribera,Painting,1631,,oil paint,group portrait,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20Bonheur%20-%20Ploughing%20in%20Nevers%20-%20Google%20Art%20Project.jpg?width=400,wikidata_8,Ploughing in the Nivernais,Rosa Bonheur,Painting,1849,,oil paint,genre art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/La%20D%C3%A9rision%20du%20Christ%20-%20Cimabue%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RFML.PE.2023.33.1%20-%20apr%C3%A8s%20restauration.jpg?width=400,wikidata_9,The Mocking of Christ,Cimabue,Painting,1280,,gold,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Monet%2C%20A%20Cart%20on%20the%20Snowy%20Road%20at%20Honfleur%20%281865%20or%201867%29.jpg?width=400,wikidata_10,A Cart on the Snowy Road at Honfleur,Claude Monet,Painting,1865-1867,,oil paint,landscape painting,painting
http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A9nus%20et%20les%20trois%20Gr%C3%A2ces%20offrant%20des%20pr%C3%A9sents%20%C3%A0%20une%20jeune%20fille%20-%20Sandro%20Botticelli%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%20321.jpg?width=400,wikidata_11,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,Sandro Botticelli,Painting,1484,,tempera,mythological painting,mural
http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Imperial%20Fritillaries%20in%20a%20Copper%20Vase%20-%20Google%20Art%20Project.jpg?width=400,wikidata_12,Fritillaries in a Copper Vase,Vincent van Gogh,Painting,1887,,oil paint,still life,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Zurbar%C3%A1n%20001.jpg?width=400,wikidata_13,The Apotheosis of St. Thomas of Aquino,Francisco de Zurbarán,Painting,1631,,oil paint,religious art,painting
